"행정구역(시·군)별","경제활동별","항목","단위","2016 년","2015 년","2014 년","2013 년","2012 년","2011 년","2010 년",
"오산시","전기, 가스, 증기 및 수도사업","산출액(당해년가격)","","138759","139281","147490","186798","177465","151912","234923",
"오산시","전기, 가스, 증기 및 수도사업","중간소비","","82682","88700","106989","151694","145468","123621","182157",
"오산시","전기, 가스, 증기 및 수도사업","지역내총부가가치(당해년가격)","","56076","50581","40500","35105","31996","28290","52766",
"오산시","전기, 가스, 증기 및 수도사업","고정자본소모","","23185","21813","19406","18687","18133","17310","28235",
"오산시","전기, 가스, 증기 및 수도사업","지역내순생산","","32891","28768","21095","16418","13864","10981","24530",
"오산시","전기, 가스, 증기 및 수도사업","기타생산세(기타생산보조금 공제)","","233","221","150","110","103","106","179",
"오산시","전기, 가스, 증기 및 수도사업","지역내요소소득","","32658","28546","20945","16308","13760","10874","24352",
"오산시","전기, 가스, 증기 및 수도사업","2010년 기준년 고정가격_산출액","","131294","120843","116679","149462","145659","137883","234923",
"오산시","전기, 가스, 증기 및 수도사업","2010년 기준년 고정가격_지역내","","32187","31035","31242","29443","30655","29754","52766",
"오산시","건설업","산출액(당해년가격)","","801877","574561","559076","474472","429894","573697","550712",
"오산시","건설업","중간소비","","513018","370461","368099","317207","290279","392004","374471",
"오산시","건설업","지역내총부가가치(당해년가격)","","288859","204101","190977","157265","139615","181694","176241",
"오산시","건설업","고정자본소모","","21693","16936","17073","14107","12790","16855","15541",
"오산시","건설업","지역내순생산","","267166","187165","173904","143158","126825","164839","160700",
"오산시","건설업","기타생산세(기타생산보조금 공제)","","1479","1197","1135","999","876","1071","822",
"오산시","건설업","지역내요소소득","","265687","185968","172769","142159","125950","163767","159878",
"오산시","건설업","2010년 기준년 고정가격_산출액","","739039","526452","509883","437593","398190","542285","550712",
"오산시","건설업","2010년 기준년 고정가격_지역내","","233692","166308","159559","136676","127225","172417","176241",
"오산시","도매 및 소매업","산출액(당해년가격)","","604192","558573","515842","505637","473407","476178","406788",
"오산시","도매 및 소매업","중간소비","","300986","274848","249673","240570","230370","227821","192174",
"오산시","도매 및 소매업","지역내총부가가치(당해년가격)","","303206","283725","266169","265067","243036","248357","214613",
"오산시","도매 및 소매업","고정자본소모","","23965","22232","19651","18627","17014","17534","14739",
